herb_id,engName,chiName,effect,taste,quality,shape
0100,Blackberrglily Rhizome,射干,清熱解毒，利咽喉，消痰涎。主治喉痹咽痛，咳逆上氣，痰涎壅盛，瘰鬁結核，瘧母，婦女經閉，癰腫瘡毒。,苦，寒。,以肥壯、肉色黃、無毛須者為佳。,乾燥根莖呈不規則的結節狀，長約3~10cm，直徑1~1.5cm。表面灰褐色或有黑褐色斑，皺縮有斜向或扭曲的環狀皺紋，排列甚密，上面有圓盤狀凹陷莖痕，下面有殘留的細根及根痕。質堅硬，斷面黃色，顆粒狀。氣微，味苦。
0101,Skunk Bugbane Rhizome,升麻,發表透疹，清熱解毒，升舉陽氣。用於風熱頭痛，齒痛，口瘡，咽喉腫痛，麻疹不透，陽毒發斑；脫肛，子宮脫垂。,辛、微辛，微寒。,以體輕泡、質堅、表變黑褐色且個大者為佳。,呈不規則的長形塊狀，多分枝，呈結節狀，長10~20cm，直徑2~4cm。表面黑褐色或棕褐色，粗糙不平，有堅硬的細鬚根殘留，上面有數個圓形空洞的莖基痕，洞內壁顯放射狀網紋；下面凹凸不平，具鬚根痕。體輕，質堅硬，不易折斷，斷面不平坦，有裂隙，纖維性，黃綠色或淡黃白色。氣微，味微苦而澀。
0102,Tatarinow Sweerflag Rhizome,石菖蒲,化濕開胃，開竅豁痰，醒神益智。用於脘痞不饑，噤口下痢，神昏癲癇，健忘耳聾。,辛、苦，溫。,以條粗、斷面色類白、香氣濃者為佳。,根莖呈扁圓柱形，稍彎曲，常有分枝，長3~20cm，直徑0.3~1cm。表面棕褐色、棕紅色或灰黃色，粗糙，多環節，節間長2~8mm；上側有略呈扁三角形的葉痕，左右交互排列，下側有圓點狀根痕，節部有時殘留有毛鱗狀葉基。質硬脆，折斷面纖維性，類白色或微紅色；橫切面內皮層環明顯，可見多數“筋脈點”及棕色油點。氣芳香，味苦、微辛。
0103,Cochinchinese Asparagus Root Tuber,天冬,養陰清熱，潤燥生津。主治肺結核，支氣管炎，白喉，百日咳，口燥咽乾，熱病口渴，糖尿病，大便燥結；外用治瘡瘍腫毒，蛇咬傷。,甘、苦，寒。,以肥滿、緻密、黃白色、半透明者為佳。,乾燥的塊根呈長圓紡錘形，中部肥滿，兩端漸細而鈍，長6~20cm，中部直徑0.5~2cm。表面黃白色或淺黃棕色，呈油潤半透明狀，有時有細縱紋或縱溝，偶有未除淨的黃棕色外皮。乾透者質堅硬而脆，未乾透者質柔軟，有粘性，斷面蠟質樣，黃白色，半透明，中間有不透明的細木心。臭微，味甘微苦。
0104,Snakegourd Root,天花粉,清熱瀉火，生津止渴，排膿消腫。治熱病口渴、消渴、黃疸、肺燥咳血、癰腫、痔痿。對於治療糖尿病，常用它與滋陰藥配合使用，以達到標本兼治的作用。,甘、微苦，微寒。,以根肥大、白色、堅實、粉性足且橫斷面筋脈點少者為佳。,該品呈不規則圓柱形、紡錘形或瓣塊狀，長8~16cm，直徑1.5~5.5cm。表面黃白色或淡棕黃色，有縱皺紋，細根痕及略凹陷的橫長皮孔，有的有黃棕色外皮殘留。質堅實，斷面白色或淡黃色，富粉性，橫切面可見黃色木質部，“筋脈點”略呈放射狀排列，縱剖面可見黃色縱條紋狀木質部。無臭，味微苦。
0105,Muskroot - like Semiaquilegia Root,天葵子,瀉肝、膽、腎命相火之邪，解一切熱毒，金石藥毒。定小兒驚悸，治吐血，衄血，塗火瘡熱毒。,甘、苦、辛，寒。,以個大，斷面皮部色白者為佳。,塊根呈不規則短柱狀、紡錘狀或塊狀，略彎曲，有的有2~3短分叉，長1~3cm，直徑0.5~1cm。表面暗褐色至灰黑色，具不規則的皺紋及鬚根或鬚根痕；頂端常有莖葉殘基，外被數層黃褐色鞘狀鱗片；中部通常較膨大。質較軟，易折斷，斷面皮部類白色，木部黃白色或黃棕色，略顯放射狀紋理。氣微，味甘、微苦辛。
0106,Reddish Jackinthepulpit Tuber,天南星,燥濕化痰，祛風定驚，消腫散結。主治中風半身不遂、癲癇、驚風、破傷風、跌打損傷、或蟲蟻咬傷等病症。,苦、辛，溫，有毒。,以個大，粉性足、色白者為佳。,本品呈扁球形，高 1~2cm，直徑1.5~6.5cm 。表面類白色或淡棕色，較光滑，頂端有凹陷的莖痕，周圍有麻點狀根痕，有的塊莖周邊有小扁球狀側芽。質堅硬，不易破碎，斷面不平坦，白色，粉性。氣微辛，味麻辣。
0107,Elecampane Inula Root,土木香,健脾和胃，調氣解郁，止痛安胎。用於胸脅、脘腹脹痛，嘔吐瀉痢，胸脅挫傷，岔氣作痛，胎動不安。,辛、苦，溫。,以根粗壯、質堅實、香氣濃者為佳。,根呈圓柱形或長圓錐形，稍彎曲或扭曲，長10~20cm，直徑0.5~2cm。表面深棕以，具縱皺紋及不明顯的橫向皮孔，頭部稍膨大，先端具稍凹陷的莖痕及棕以葉柄殘基。質堅硬，不易折斷，折斷面不平坦，稍呈角質樣，乳白以至淺黃棕色，形成層環明顯，木質部略顯放射狀紋理。氣微，味微苦而灼辣。
0108,Combined Spicebush Root,烏藥,行氣止痛，溫腎散寒。,辛，溫。,以淺棕色、個大、肥壯、質嫩、香氣濃者為佳。,多呈紡錘狀，略彎曲，有的中部收縮成連珠狀，長6~15cm，直徑1~3cm。表面黃棕色或黃褐色，有縱皺紋及稀疏的細根痕。質堅硬。切片厚0.2~2mm，切面黃白色或淡黃棕色，射線放射狀，可見年輪環紋，中心顏色較深。氣香，味微苦、辛，有清涼感。
0109,Nutgrass Galingale Rhizome,香附,理氣解鬱，調經止痛。用於肝鬱氣滯，胸、脅、脘腹脹痛，消化不良，月經不調，經閉痛經，寒疝腹痛，乳房脹痛。,辛、微苦、微甘，平。,以個大、堅實、氣香、毛須去淨者為佳。,根莖多呈紡錘形，或略彎曲，長2~3.5cm，直徑0.5~1cm。表面棕褐色或黑褐色，有不規則縱皺紋，並有明顯而略隆重起的環節 6~10個，節間長2~6mm，節上有眾多朝向一方的棕色毛須，並殘留根痕；去淨毛須的較光滑，有細密的縱脊紋。質堅硬，蒸煮者斷面角質樣，棕黃色或棕紅色，生曬者斷麵粉性，類白色；內皮層環明顯，中柱色較深，維管束點清晰可見。氣芳香特異，味微苦。
0110,Common Vurculigo Rhizome,仙茅,溫腎陽，壯筋骨。治陽萎精冷，小便失禁，崩漏，心腹冷痛，腰腳冷痹，癰疽，瘰鬁，陽虛冷瀉。陽痿精寒，腰膝風冷，筋骨痿痹等症。,辛，熱，有毒。,以根條粗長、質堅脆、表面黑褐色者為佳。,乾燥根莖為圓柱形，略彎曲，兩端平，長3~10cm，直徑3~8mm。表面棕褐色或黑褐色，粗糙，皺縮不平，有細密而不連續的橫紋，並散佈有不甚明顯的細小圓點狀皮孔。未去鬚根者，在根莖的一端常叢生兩端細、中間粗的鬚根，長約3~6cm，有極密的環狀橫紋，質輕而疏鬆，柔軟而不易折斷。根莖質堅脆，易折斷，斷面平坦，微帶顆粒性 (經蒸過者略呈透明角質狀)，皮部淺灰棕色或因糊化而呈紅棕色，靠近中心處色較深。微有辛香氣，味微苦辛。
0111,Longstamen Onion Bulb,薤白,胸痹心痛徹背；胸脘痞悶；咳喘痰多；脘腹疼痛；泄痢後重；白帶；瘡癤癰腫；通陽散結，行氣導滯。,辛、苦，溫。,均以個大、飽滿、質堅、黃白色、半透明者為佳。,天藍小根蒜：鱗莖近球形，直徑1~2cm。
0112,Manchurian Wildginger Herb,細辛,解表散寒；祛風止痛；溫肺化飲；通竅。主治風寒表證；頭痛，牙痛；風濕痹痛；痰飲咳喘；鼻塞；鼻淵；口瘡。,辛，溫。,均以根灰黃、葉綠、乾燥、味辛辣而麻舌者為佳。,漢城細辛：根莖長1~10cm，直徑0.1~0.5cm，節間長約0.1~1cm，氣味同北細辛。
0113,American Ginseng,西洋參,補氣養陰，清熱生津。用於氣虛陰虧，內熱，咳喘痰血，虛熱煩倦，消渴，口燥咽乾。西洋參有抗疲勞、抗氧化、抗應激、抑制血小板聚集、降低血液凝固性的作用，另外，對糖尿病患者還有調節血糖的作用。,甘、微苦，微寒。,以條均勻、質硬、表面橫紋緊密、氣濃清香者為佳。,本品呈紡錘形、圓柱形或圓錐形，長3~12cm，直徑0.8~2cm。表面淺黃褐色或黃白色，可見橫向環紋及線狀皮孔，並有細密淺縱皺紋及鬚根痕。主根中下部有一至數條側根；多已折斷。有的上端有根莖 (蘆頭)，環節明顯，莖痕 (蘆碗) 圓形或半圓形具不定根疔或已折斷。體重，質堅實，不易折斷，斷面平坦，淺黃白色，略顯粉性，皮部可見黃棕色點狀樹脂道，形成層環紋棕黃色，本部略呈放射狀紋理。氣微而特異，味微苦、甘。
0114,Figwort Root,玄參,清熱涼血，瀉火解毒，滋陰。用於溫邪入營，內陷心包，溫毒發斑，熱病傷陰、舌絳煩渴、津傷便秘、骨蒸勞嗽、目赤、咽痛、瘰鬁、白喉、癰腫瘡毒。,甘、苦、鹹，微寒。,以條粗壯、堅實、斷面烏黑者為佳。,根類圓柱形，中間略粗或上粗下細，有的微彎曲，長6~20cm，直徑1~3cm。表面灰黃色或灰褐色，有不規則的縱溝、橫向皮孔及稀疏的橫裂紋和鬚根痕。質堅實，不易折斷，斷面黑色，微有光澤。氣特異似焦糖，味甘、微苦、鹹。
0115,Paniculate Swallowwort Root or Herb,徐長卿,祛風化濕，止痛止癢。用於風濕痹痛，胃痛脹滿，牙痛，腰痛，跌撲損傷，蕁麻疹、濕疹。,辛，溫。,以香氣濃者為佳。,本品根莖呈不規則柱狀，有盤節，長0.5~3.5cm，直徑2~4mm。有的頂端帶有殘莖，細圓柱形，長約2cm，直徑1~2mm，斷面中空；根莖節處周圍著生多數根。根呈細長圓柱形，彎曲，長10~16cm，直徑1~1.5mm。表面淡黃白色至淡棕黃色，或棕色；具微細的縱皺紋，並有纖細的鬚根。質脆，易折斷，斷麵粉性，皮部類白色或黃白色，形成層環淡棕色，木部細小。氣香，味微辛涼。
0116,Asper - like Teasel Root,續斷,補肝腎；強筋骨；調血脈；續折傷；止崩漏。用於腰背酸痛；肢節痿痹；跌撲創傷、損筋折骨、胎動漏紅、血崩、遺精、帶下、癰疽瘡腫。酒續斷多用於風濕痹痛，跌撲損傷。鹽續斷多用於腰膝酸軟。,苦、辛，微溫。,以條粗、質軟、皮部綠褐色為佳。,根長圓柱形，略扁，微彎曲，長5~15cm，直徑0.5~2cm。表面棕褐色或灰褐色，有多數明顯而扭曲的縱皺紋及溝紋，並多數明顯而扭曲的縱皺紋及溝紋，並可見橫長皮孔及少數鬚根痕。質稍軟，久置乾燥後變硬。易折斷，斷面不平坦，皮部綠褐色或淡褐色，木部黃褐色，常呈放射狀花紋。氣微香，味苦，微甜而後澀。
0117,Yanhusuo Tuber,延胡索,活血散瘀，行氣止痛。主治胸痹心痛，脅肋、脘腹諸痛，頭痛、腰痛、疝氣痛、筋骨痛、痛經、經閉，產後瘀腹痛，跌打損傷。,辛、苦，溫。,以個大、飽滿、質堅、色黃、內色黃亮者為佳。,乾燥塊莖，呈不規則扁球形，直徑1~2cm，表面黃色或褐黃色，頂端中間有略凹陷的莖痕，底部或有疙瘩狀凸起。質堅硬而脆，斷面黃色，角質，有蠟樣光澤。無臭，味苦。
0118,Lanceolate Dichotomous Starwort Root,銀柴胡,清熱涼血。治虛勞骨蒸，陰虛久瘧，小兒瘠熱羸瘦。,甘，微寒。,以根長均勻、頂端具“珍珠盤”、外皮淡黃色、斷面黃白色者為佳。,呈類圓柱形，偶有分枝，長15~40cm，直徑0.5~2.5cm。表面淺棕黃色至淺棕色，有扭曲的縱皺紋及支根痕，多具孔穴狀或盤狀凹陷，從砂眼處折斷可見棕色裂隙中有細砂散出，根頭部略膨大，有密集的呈疣狀突起的芽苞、莖或根莖的殘基。質硬而脆，易折斷，斷面不平坦，較疏鬆，有裂隙，皮部甚薄，木部有黃、白色相間的放射狀紋理。氣微，味甘。栽培品有分枝，下部多扭曲，直徑0.3~1.2cm。表面淺棕黃色或淺黃棕色，縱皺紋細膩明顯，細支根痕多呈點狀凹陷。根頭部有多數疣狀突起。幾無砂眼。折斷面質地較緊密，幾無裂隙，略顯粉性，木部放射狀紋理不甚明顯。味微甜。
0119,Thinleaf Milkwort Willd.,遠志,安神益智，祛痰，消腫。用於心腎不交引起的失眠多夢，健忘驚悸，神志恍惚，咳痰不爽，瘡瘍腫毒，乳房腫痛。,苦、辛，微溫。,以皮厚、條粗者為佳。,該品呈圓柱形，略彎曲，長3~15cm，直徑0.3~0.8cm。表面灰黃色至灰棕色，有較密並深陷的橫皺紋、縱皺紋及裂紋，老根的橫皺紋較密更深陷，略呈結節狀。質硬而脆，易折斷，斷面皮部棕黃色，木部黃白色，皮部易與木部剝離。氣微，味苦、微辛，嚼之有刺喉感。
0120,Wenchow Turmeric Root Tuber,鬱金,行氣化瘀，清心解鬱，利膽退黃。用於經閉痛經，胸腹脹痛、刺痛，熱病神昏，癲癇發狂，黃疸尿赤。,辛、苦，寒。,以堅實、斷面黃色者為佳。,綠絲鬱金：呈長橢圓形，較粗壯，長1.5~3.5cm，直徑1~1.2cm。氣微，味淡。
0121,Broadleaf Globethistle Root,禹州漏蘆,清熱解毒，排膿止血，消癰下乳。用於諸瘡癰風，乳癰腫痛，乳汁不通，瘰鬁瘡毒。又用作驅蛔劑。,苦，寒。,以枝條粗長，表面土棕色，質堅實，長短整齊者為佳。,呈類圓柱形，上粗下細，稍扭曲，長10~30cm，直徑1~2cm。外皮灰褐色或灰黃色，粗糙，有縱皺紋，頂端叢生棕色硬毛，為殘存的葉柄維管束，下端偶有分枝。質堅，不易折斷，斷面外圈褐色，內有黃、黑相間的菊花紋。無臭，味微澀。以條粗、堅實者為佳。根呈類圓柱形、稍扭曲，長短不一，直徑0.5~1.5cm。表面土黃色或灰棕色，粗糙，具縱皺紋，頂端有纖維狀棕色硬毛，為殘存的葉柄維管束。質堅，斷面粗纖維狀，皮部棕色，木部具黃黑相間的菊紋，氣微，味微澀。
0122,Fragrant Solomonseal Rhizome,玉竹,滋陰潤肺；養胃生津。燥咳；勞嗽；熱病陰液耗傷之咽乾口渴；內熱消渴；陰虛外感；頭昏眩暈；筋脈攣痛。,甘，平。,以肥壯、條長、色黃白光潤、半透明、味甜者為佳。,該品呈長圓柱形，略扁，少有分枝，長4~18cm，直徑0.3~1.6cm。表面黃白色或淡黃棕色，半透明，具縱皺紋及微隆起的環節，有白色圓點狀的鬚根痕和圓盤狀莖痕。質硬而脆或稍軟，易折斷，斷面角質樣或顯顆粒性。氣微，味甘，嚼之發黏。
0123,Oriental Waterplantain Tuber,澤瀉,利水滲濕；泄熱通淋。主小便不利；熱淋澀痛；水腫脹滿；泄瀉；痰飲眩暈；遺精。,甘、淡，寒。,以塊大、黃白色、光滑、質充實、粉性足者為佳。,塊莖類球形、橢圓形或卵圓形、長2~7cm，直徑2~6cm。表面黃白色或淡黃棕色，有不規則的橫向環狀淺溝紋及多數細小突起的鬚根痕，底部有的有瘤狀芽痕。質堅實，斷面黃白色，粉性，有多數細孔。氣微，味微苦。
0124,Chekiang Fritillary Bulb,浙貝母,清熱化痰，散結解毒。治風熱咳嗽，肺癰喉痹，瘰鬁，瘡瘍腫毒。,苦，寒。,均以鱗葉肥厚、表面及斷面白色、粉性足者為佳。,珠貝為完整的鱗莖，呈扁圓球形，高1~1.7cm，直徑2~3.5cm。表面白色，外層兩枚鱗葉肥厚，略似腎臟形，中央為2~3枚皺縮的小鱗葉及殘莖，內表面墾淡黃白色。質地、氣味同元寶貝。
0125,Common Anemarrhena,知母,清熱瀉火，生津潤燥。用治外感熱病，高熱煩渴，內治肺熱咳嗽，胃熱消渴，肺燥咳嗽；腸燥便秘；骨蒸潮熱。,苦、甘，寒。,均以質硬、條肥大、斷面黃白色者為佳。,該品呈長條狀，微彎曲，略扁，偶有分枝，長3~15cm，直徑0.8~1.5cm，一端有淺黃色的莖葉殘痕。表面黃棕色至棕色，上面有一凹溝，具緊密排列的環狀節，節上密生黃棕色的殘存葉基，由兩側向根莖上方生長；下面隆起而略皺縮，並有凹陷或突起的點狀根痕。質硬，易折斷，斷面黃白色。氣微，味微甜、略苦，嚼之帶粘性。
0126,Coral Ardisia Root,朱砂根,行血祛風，解毒消腫。用於上呼吸道感染，咽喉腫痛，扁桃體炎，白喉，支氣管炎，風濕性關節炎，腰腿痛，跌打損傷，丹毒，淋巴結炎；外用治外傷腫痛，骨折，毒蛇咬傷。,苦、辛，平。,以條粗、皮厚者為佳。,根簇生於略膨大的根莖上，呈圓柱形，略彎曲，長5~25cm，直徑2~10mm。表面棕褐色或灰棕色，具多數縱皺紋及橫向或環狀斷裂痕，皮部與木部易分離。質硬而脆，易折斷，折斷面不平坦，皮部厚，約占斷面的一半，類白色或淺紫紅色，木部淡黃色。氣微，味微苦、辛，有刺舌感。
0127,Redroot Gromwell,紫草,涼血，活血，解毒透疹。用於血熱毒盛、斑疹紫黑、麻疹不透、瘡瘍、濕疹、水火燙傷。清熱涼血，用於麻疹，熱病癍疹，濕疹，尿血，血淋，血痢，瘡瘍，丹毒，燒傷，熱結便秘。,甘、鹹、微酸，寒。,以條粗、皮厚、紫色者為佳。,內蒙紫草：皮部略薄，常數層相疊，易剝離，質硬而脆，斷面較整齊，木部較小。
0128,Tatarian Aster Root and Rhizome,紫菀,潤肺下氣，消痰止咳。用於痰多喘咳、新久咳嗽、勞嗽咳血。,辛、苦，溫。,以根長、紫紅色、無雜質、質柔韌者為佳。,根莖不規則塊狀，大小不一，頂端有莖、葉的殘基，下端偶有末除盡的母根，質梢硬。根莖簇生多數細根，長3~15cm，直徑0.1~0.3cm，多編成辮狀；表面紫紅色或灰紅色，有縱皺紋；質較柔韌。氣微香，味甜、微苦。
0129,Liquorice Root,甘草,益氣補中，清熱解毒，祛痰止咳，緩急止痛，調和藥性。,甘，平。,以皮細緊、色紅棕、質堅實、斷面色黃白、粉性足者為佳。,圓柱形，外皮鬆緊不一。表面紅棕色或灰棕色，具顯著的縱皺紋、溝紋、皮孔及稀疏的細根痕。質堅實，斷面略顯纖維性，黃白色，粉性。根莖表面有芽痕，斷面中部有髓。氣微，味甜而特殊。飲片為斜切片。
0130,Tuber Fleeceflower Root,何首烏,解毒，消癰，截瘧，潤腸通便。用於瘡癰，瘰鬁，風疹疲癢，久瘧體虛，腸燥便秘。,苦、甘、澀。,以體重，質堅實為佳。,團塊狀或不規則紡錘形。表面紅棕色或紅褐色，皺縮不平，有淺溝，並有橫長皮孔樣突起和細根痕。體重，質堅實，不易折斷。斷面淺黃棕色或淺紅棕色，顯粉性，皮部有4~11個類例形異型維管束環列，形成雲錦狀花紋，中央水部較大，有的呈木心。氣微，味微苦而甘澀。
0131,Chinese Clematis Root and Rhizome,威靈仙,祛風濕，通經絡。用於風濕痹痛，肢體麻木，筋脈拘攣，屈伸不利。,辛、咸、溫。,以條粗、皮厚者為佳。,東北鐵線蓬：根莖呈柱狀，表面棕黑色；斷面木部近圓形，味辛辣。
0132,Ternate Pinellia,半夏,燥濕化痰，降逆止嘔，消痞散結。用於濕痰寒痰，咳喘痰多，痰飲 眩悸，風痰眩暈，痰厥頭痛.嘔吐反胃.胸院痞悶，梅核氣；外治痛腫痰核。,辛、溫，有毒。,以個大、皮淨、色白、質堅實、粉性足者為佳。,本品呈類球形，有的稍偏斜，表面白色或淺黃色，頂端有凹陷的莖痕，周圍密佈麻點狀根痕；下面鈍圓，較光滑。質堅實、斷面潔白，富粉性。氣微，味辛辣、麻舌而刺喉。
0133,Sharpleaf Uncaria Stem with Hools,鉤藤,清熱平肝；熄風止痙。小兒驚風；夜啼；熱盛動風；子癇；肝陽眩暈；肝火頭脹痛。,甘，涼。,以莖細、帶雙鉤、鉤結實、光滑、紫紅色者為佳。,莖枝圓柱形或類方柱形，直徑2~6mm。表面紅棕色至紫棕色或棕褐色，上有細縱紋，無毛。莖上具略突起的環節，對生兩個向下彎曲的鉤或僅一側有鉤，鉤長1~2cm，形如船鋪，先端漸尖，基部稍圓。鉤基部的枝上可見葉柄脫落後凹點及環狀的托葉痕。體輕，質硬。橫截面外層棕紅色，髓部淡棕色或淡黃色。氣微，味淡。
0134,Ovientvine Stem,青風藤,祛風濕，通經絡，利小便。用於風濕痹痛，關節腫脹，麻痹瘙癢。,苦、辛，平。,以外皮綠褐色、條均勻者為佳。,呈細長圓柱形，直徑5~20mm，外表灰褐色或棕褐色，有縱皺及橫向皮孔，節處膨大。體輕，質堅實而脆，易折斷，斷面灰黃色或淡灰棕色，不平坦。橫切面韌皮部很窄，木質部導管與射線呈放射狀排列，導管較大，中央為圓形的髓。氣弱，味苦。
0135,Sargenrgloryvine,大血藤,敗毒消癰，活血通絡，祛風殺蟲的作用。治急、慢性闌尾炎，風濕痹痛，赤痢，血淋，月經不調，疳積，蟲痛，跌撲損傷。,苦、平。,以條勻、徑粗者佳。,乾燥莖呈圓柱形，略彎曲，通常截成長約30cm的段狀，直徑1~3cm。外表棕色或灰棕色，粗糙，具有淺的縱槽紋及明顯的橫裂紋，有時可見膨大的節部及略凹陷的枝痕或葉柄痕，栓皮常呈鱗片狀開裂，脫落處露出淡紅棕色的內皮部。質堅韌，有彈性，折斷面裂片狀；平整的橫切面，本質部黃白色，導管呈細孔狀，髓射線棕紅色，放射狀排列。氣異香，味淡微澀。
0136,Armand Clematis Stem,川木通,清熱利尿，通經下乳。用於水腫、淋病，小便不通，關節痹痛，經閉乳少。,淡、苦，寒。,以斷面黃白色者為佳。,呈長圓柱形，略扭曲，長50~100cm，直徑2~3.5cm。表面黃棕色或黃褐色，有縱向凹溝及棱線；節處多膨大，有葉痕及側枝痕。殘存皮部易撕裂。質堅硬，不易折斷。切片厚0.2~0.4cm，邊緣不整齊，殘存皮部黃棕色，木部淺黃棕色或淺黃色，有黃白色放射狀紋理及裂隙，其間佈滿導管孔，髓部較小，類白色或黃棕色，偶有空腔。
0137,Sappan Wood,蘇木,血祛瘀，消腫定痛。主婦人血滯經閉，痛經，產後瘀阻心腹痛，產後血暈，癰腫，跌打損傷，破傷風 。,甘、咸，平。,以堅實、粗大、色黃紅者為佳。,呈長圓柱形或對剖半圓柱形，長10~100cm，直徑3~12cm。表面黃紅色至暗紅色，可見紅白相間的細條紋，具刀削痕和枝痕，常見縱向裂緩。橫斷面略具光澤，年輪明顯，有的可見暗棕色、質松、帶亮點的髓部。質堅硬。無臭，味徽澀。
0138,Cassiabarktree Twig,桂枝,發汗解肌，溫通經脈，助陽化氣，平沖降氣。用於風寒感冒，脘腹冷痛，血寒經閉，關節痹痛，痰飲，水腫，心悸，奔豚。,辛、甘，溫。,以枝條細嫩均勻、棕黃色、氣香濃者為佳。,呈長圓柱形，多分枝，長30~75cm，粗端直徑0.3~1cm。表面紅棕色至棕色，有縱棱線、細皺紋及小疙瘩狀的葉痕、枝痕、芽痕，皮孔點狀。質硬而脆，易折斷。切片厚2~4mm，斷面皮部紅棕色，木部黃白色至淺黃棕色，髓部略呈方形。有特異香氣，味甜、微辛，皮部味較濃。
0139,Rosewood Heart Wood,降香,行氣活血，止痛，止血。用於脘腹疼痛，肝鬱脅痛，胸痹刺痛，跌撲損傷，外傷出血。,辛，溫。,以堅實、富有性、香氣濃、紫紅色者為佳。,該品呈類圓柱形或不規則塊狀。表面紫紅色或紅褐色，切面有緻密的紋理。質硬，有油性。氣微香，味微苦。
0140,Chinese Fevervine Herb and Root,雞屎藤,祛風除濕；消食化積；解毒消腫；活血止痛。主治風濕痹痛；食積腹脹；小兒疳積；腹瀉；痢疾；中暑；黃疸；肝炎；肝脾腫大；咳嗽；瘰鬁；腸癰；無名腫毒；腳濕腫爛；燙火傷；濕疹；皮炎；跌打損傷；蛇蛟蠍螫。,甘、酸，平。,以條勻、葉多、氣濃者為佳。,雞矢藤莖呈扁圓柱形，稍扭曲，無毛或近無毛，老黃牛莖灰棕色，直徑3~12mm，栓皮常脫落，有縱皺紋及葉柄斷痕，易折斷，斷面平坦，灰黃色；嫩莖黑褐色，直徑1~3mm，質韌，不易折斷，斷面纖維性，灰白色或淺綠色。葉對生，多皺縮或破碎，完整者展平後呈寬卵形或披針形，長5~15cm，寬2~6cm，先端尖，基部楔形，圓形或淺心形，全緣，綠褐色，兩面無柔毛或近無毛；葉柄長1.5~7cm，無毛或有毛。聚傘花序頂生或腋生，前者多帶葉，後者疏散少花，花序軸及花均被疏柔毛，花淡紫色。氣特異，味微苦、澀。
0141,Suberect Spatholobus Stem,雞血藤,補血，活血，通絡。用於月經不調，血虛萎黃，麻木癱瘓，風濕痹痛。,苦、甘，溫。,以樹脂分泌物多者為佳。,該品為橢圓形、長矩圓形或不規則的斜切片，厚0.3~1cm。栓皮灰棕色，有的可見灰白色斑，栓皮脫落處現紅棕色。切面木部紅棕色或棕色，導管孔多數；韌皮部有樹脂狀分泌物呈紅棕色至黑棕色，與木部相間排列呈3~8個偏心性半圓形環；骨部偏向一側。質堅硬。氣微，味澀。
0142,Chinese Starasmine Stem,絡石藤,祛風通絡，涼血消腫。用於風濕熱痹，筋脈拘攣，腰膝酸痛，喉痹，癰腫，跌撲損傷。,苦，微寒。,以葉多、色綠者為佳。,本品莖呈圓柱形，彎曲，多分枝，長短不一，直徑1~5mm；表面紅褐色，有點狀皮孔及不定根；質硬，斷面淡黃白色，常中空。葉對生，有短柄；展平後葉片呈橢圓形或卵狀披針形，長1~8cm，寬0.7~3.5cm；全緣，略反卷，上表面暗綠色或棕綠色，下表面色較淡，革質。氣微，味微苦。
0143,Akabia Stem,木通,清熱利尿；活血通脈。主小便赤赤；淋濁；水腫；胸中煩熱；喉喉疼痛；口舌生瘡；風濕痹痛；乳汁不通；經閉；痛經。,苦，微寒。,以條粗、均勻者為佳。,白木通藤莖直徑5~8mm。表面黃棕色或暗棕色，有不規則縱溝紋；有枝痕。質堅韌，難折斷，斷面木部淡黃色，導管細密，排列不規則，射線約13條，淺黃色放射狀，髓類圓形。氣微，味徽苦。
0144,Japanese Honeysuckle Stem,忍冬藤,清熱解毒，疏風通絡。用於溫病發熱，熱毒血痢，癰腫瘡瘍，風濕熱痹，關節紅腫熱痛。,甘，寒。,以枝條均勻、嫩枝稍有毛、外皮棗紅色、質嫩帶葉者為佳。,該品呈長圓柱形，多分枝，常纏繞成束，直徑1.5~6mm。表面棕紅色至暗棕色，有的灰綠色，光滑或被茸毛；外皮易剝落。枝上多節，節間長6~9cm，有殘葉及葉痕。質脆，易折斷，斷面黃白色，中空。無臭，老枝味微苦，嫩枝味淡。
0145,Chinese Taxillus Herb,桑寄生,祛風濕，益肝腎，強筋骨，安胎。,苦、甘，平。,以紅褐色、枝細嫩、葉多者為佳。,莖枝呈圓柱形，長3~4cm，直徑0.2~1cm；表面紅褐色或灰色，具細縱紋，並有眾多細小皮孔，小枝有棕紅色細毛。有時逞葉，多捲縮，完整者呈卵圓形，全緣，棕色，革質，幼葉亦被棕紅色細毛。莖堅硬，斷面不整齊，皮部紅棕色，木櫚色較淺。無臭，味澀。
0146,Mulberry Twig,桑枝,祛風濕，利關節，行水氣。主治風寒濕痹，四肢拘攣，腳氣浮腫，肌體風癢。,苦，平。,以質嫩、斷面黃白色者為佳。,乾燥的嫩枝呈長圓柱形，長短不一，直徑0.5~lcm。外表灰黃色或灰褐色，有多數談褐色小點狀皮孔及細縱紋，並可見灰白色半月形的葉痕和棕黃色的葉芽。質堅韌，有彈性，較難折斷，斷面黃白色，纖維性。斜片呈橢圓形，長約2mm。切面皮部較薄，木部黃白色，射紋細密，中心有細小而綿軟的髓。有青草氣，味淡略粘。
